method,epsilon,theta,n_wdr,seed,num_WT,num_Solar,obj,solve_time,total_duration,satisfied_rate
FICA,0.1,0.15,300,20000,10,5,638068.369757524,10573.005809783936,10573.79507470131,0.934
FICA,0.1,0.15,300,30000,10,5,593809.2716092226,9367.025500297546,9367.872512102127,0.9328
EIFICA,0.1,0.15,300,20000,10,5,638065.9253718822,11296.443901062012,11297.250912427902,0.9312
EIFICA,0.1,0.15,300,30000,10,5,593797.164315921,2576.464182138443,2577.287264585495,0.9264
FICA,0.03,0.06,50,0,10,5,719958.1883435764,36.54826617240906,37.351550579071045,0.6854
EIFICA,0.03,0.06,50,0,10,5,719922.1995601257,31.261094093322754,32.05357217788696,0.061200000000000004
FICA,0.03,0.06,50,10000,10,5,626471.4574619235,36.1903018951416,36.98113250732422,0.6678000000000001
EIFICA,0.03,0.06,50,10000,10,5,626409.4607863093,31.170451879501343,31.962825775146484,0.17859999999999998
FICA,0.03,0.06,50,20000,10,5,640523.664595887,36.55346345901489,37.34234809875488,0.71
EIFICA,0.03,0.06,50,20000,10,5,640447.235675062,31.314796924591064,32.102227449417114,0.022
FICA,0.03,0.06,50,30000,10,5,596456.0924627587,36.018669843673706,36.810028314590454,0.7504
EIFICA,0.03,0.06,50,30000,10,5,596406.9678277393,31.187023162841797,31.97640037536621,0.0852
FICA,0.03,0.06,50,40000,10,5,591333.7055981687,36.2958562374115,37.08813714981079,0.7546
EIFICA,0.03,0.06,50,40000,10,5,591309.3134779405,31.327441453933716,32.11619710922241,0.2202
FICA,0.03,0.06,80,0,10,5,720070.8351981236,217.63702583312988,218.57883954048157,0.7668
EIFICA,0.03,0.06,80,0,10,5,720034.7385660335,38.628633975982666,39.43334174156189,0.1296
FICA,0.03,0.06,80,10000,10,5,626778.3483909054,238.67436003684998,239.48297357559204,0.7852
EIFICA,0.03,0.06,80,10000,10,5,626733.4107325196,38.856427907943726,39.662193775177,0.4444000000000001
FICA,0.03,0.06,80,20000,10,5,640752.0936630447,229.09606003761292,230.0302290916443,0.7862
EIFICA,0.03,0.06,80,20000,10,5,640717.1987165953,38.86470031738281,39.67327165603638,0.2562
EIFICA,0.1,0.15,300,40000,10,5,589522.2192941514,1309.5474722385406,1310.357558965683,0.922
EIFICA,0.03,0.06,80,30000,10,5,596487.2298400626,37.619797468185425,38.425857067108154,0.3162
FICA,0.03,0.06,80,30000,10,5,596527.3212163406,221.2317554950714,222.0421061515808,0.815
EIFICA,0.03,0.06,80,40000,10,5,591477.3736432268,38.98218774795532,39.792746782302856,0.2804
FICA,0.03,0.06,80,40000,10,5,591504.0472078404,194.04354572296143,194.84696102142334,0.8396000000000001
EIFICA,0.03,0.06,100,0,10,5,720109.4858577843,39.89886522293091,40.70158910751343,0.3908
FICA,0.03,0.06,100,0,10,5,720135.2036358571,296.5612533092499,297.38719844818115,0.8158
EIFICA,0.03,0.06,100,10000,10,5,626831.8104510042,41.472405195236206,42.294126749038696,0.5378
FICA,0.03,0.06,100,10000,10,5,626868.1985500085,332.98727011680603,333.7859044075012,0.8198000000000001
EIFICA,0.03,0.06,100,20000,10,5,640918.2449816435,40.13516306877136,40.937636852264404,0.7052
FICA,0.03,0.06,100,20000,10,5,640942.5364191226,385.3980860710144,386.1931049823761,0.8561999999999999
FICA,0.03,0.06,100,30000,10,5,596628.4475049307,308.897825717926,309.6975636482239,0.8690000000000001
EIFICA,0.03,0.06,100,30000,10,5,596592.422712421,41.109822511672974,41.89706802368164,0.6456000000000001
EIFICA,0.03,0.06,100,40000,10,5,591541.0448955544,40.37400150299072,41.143967628479004,0.40020000000000006
FICA,0.03,0.06,100,40000,10,5,591567.9374050243,302.8372995853424,303.6402790546417,0.8859999999999999
FICA,0.03,0.06,150,0,10,5,720304.0848473335,526.3879995346069,527.2560517787933,0.8804
EIFICA,0.03,0.06,150,0,10,5,720284.6604463684,294.99718499183655,295.7889370918274,0.4644
EIFICA,0.03,0.06,150,10000,10,5,626983.6564870086,148.99309468269348,149.79147028923035,0.6974000000000001
FICA,0.03,0.06,150,10000,10,5,627014.1819146369,670.9029407501221,671.6819660663605,0.8554
FICA,0.03,0.06,150,20000,10,5,641035.509502509,709.3922276496887,710.1862390041351,0.9114
EIFICA,0.03,0.06,150,20000,10,5,641005.8231082344,558.145525932312,558.9490880966187,0.6958
FICA,0.03,0.06,150,30000,10,5,596661.7544617871,552.519811630249,553.3047685623169,0.893
EIFICA,0.03,0.06,150,30000,10,5,596624.811013525,269.17186307907104,269.973025560379,0.7738
EIFICA,0.03,0.06,150,40000,10,5,591653.4364004385,96.59141421318054,97.36478352546692,0.8317999999999999
FICA,0.03,0.06,150,40000,10,5,591662.4033476508,607.9754221439362,608.7900047302246,0.9096
FICA,0.1,0.15,300,40000,10,5,589527.9812891852,6382.718173980713,6383.533629655838,0.9408
EIFICA,0.03,0.06,200,0,10,5,720383.5539218317,415.1792457103729,415.9919693470001,0.8908
EIFICA,0.03,0.06,200,10000,10,5,627228.4432030538,208.71042823791504,209.5217273235321,0.8064
FICA,0.03,0.06,200,0,10,5,720390.0446809996,1211.1285762786865,1211.9042909145355,0.9236
EIFICA,0.03,0.06,200,20000,10,5,641051.1796842414,149.7832179069519,150.57285499572754,0.8668
FICA,0.03,0.06,200,10000,10,5,627252.8049998505,1220.7570464611053,1221.5646615028381,0.8956000000000001
EIFICA,0.03,0.06,200,30000,10,5,596802.0205635956,234.35199403762817,235.14108991622925,0.8852
FICA,0.03,0.06,200,20000,10,5,641083.1364776581,1071.4717881679535,1072.283197402954,0.9284
EIFICA,0.03,0.06,200,40000,10,5,591713.7864170598,112.40660810470581,113.23018479347229,0.8594000000000002
FICA,0.03,0.06,200,30000,10,5,596837.590206312,1338.146737575531,1338.94074177742,0.9297999999999998
EIFICA,0.03,0.06,250,0,10,5,720399.9867953751,166.41762709617615,167.209374666214,0.8974
FICA,0.03,0.06,200,40000,10,5,591723.6617664426,1216.515498161316,1217.315819978714,0.9254000000000001
EIFICA,0.03,0.06,250,10000,10,5,627273.3087698645,454.16387939453125,454.9672553539276,0.8658
FICA,0.03,0.06,250,0,10,5,720406.7336542893,2110.967683315277,2111.8019285202026,0.9296
EIFICA,0.03,0.06,250,20000,10,5,641092.1532270123,462.0417776107788,462.8536834716797,0.8758
FICA,0.03,0.06,250,10000,10,5,627307.7565978337,2208.221429824829,2209.0277087688446,0.9284
