method,sf,epsilon,theta,n_wdr,seed,obj,solve_time,total_duration,satisfied_rate,status
EIFICA,1.0,0.06,0.06,200,500,58027.17977333661,7.92413592338562,9.674131870269775,0.984,13
ExactLHS,1.0,0.03,0.06,200,900,53869.31861391295,7207.142914533615,7208.313603401184,0.7404,9
EIFICA,1.0,0.06,0.06,200,600,53110.19729719185,8.131381034851074,9.88246774673462,0.9854,2
ExactLHS,1.0,0.06,0.06,200,300,57627.55111692845,1271.4803657531738,1272.7147789001465,0.7486,2
EIFICA,1.0,0.06,0.06,200,700,64834.649173148224,8.200577020645142,10.05902361869812,0.9992,2
ExactLHS,1.0,0.06,0.06,200,400,58285.75012551848,1214.4790449142456,1215.6445171833038,0.6876,2
EIFICA,1.0,0.06,0.06,200,800,55342.14348299384,7.929910182952881,9.710219383239746,0.9926,2
ExactLHS,1.0,0.06,0.06,200,500,58122.0452610031,1009.0262217521667,1010.2017633914948,0.6856,2
EIFICA,1.0,0.06,0.06,200,900,53274.74440662705,7.940990924835205,9.678172826766968,0.9854,2
ExactLHS,1.0,0.06,0.06,200,600,53283.839842966874,631.7549726963043,632.9442596435547,0.7392,2
ExactLHS,1.0,0.06,0.06,200,900,53473.31527366767,752.7701532840729,753.9559891223907,0.9604,2
ExactLHS,1.0,0.06,0.06,200,700,64891.6651860838,1205.5355002880096,1206.7803101539612,0.6858,2
ExactLHS,1.0,0.06,0.06,200,800,55517.80869265932,1710.8528242111206,1712.044226884842,0.6828,2
EIFICA,1.5,0.03,0.06,50,0,99482.58363363375,8.77741003036499,10.438666582107544,0.9776,2
EIFICA,1.5,0.03,0.06,50,100,80304.57476651229,9.179219007492065,10.895368814468384,0.931,2
EIFICA,1.5,0.03,0.06,50,200,92465.05419852473,8.321229934692383,9.460370063781738,0.986,2
EIFICA,1.5,0.03,0.06,50,300,86218.77553764348,7.927241802215576,9.204120874404907,0.9606,2
ExactLHS,1.5,0.03,0.06,50,300,86267.24044756878,72.63185024261475,73.78136014938354,0.6722,2
ExactLHS,1.5,0.03,0.06,50,200,92469.6652389572,93.49497675895691,94.67781209945679,0.6778,2
ExactLHS,1.5,0.03,0.06,50,0,99487.68582106825,110.13903641700745,111.8417296409607,0.7476,2
EIFICA,1.5,0.03,0.06,50,400,87761.1616210959,8.539121389389038,10.229555130004883,0.9146,2
EIFICA,1.5,0.03,0.06,50,500,87512.58243523886,8.28880000114441,9.42412805557251,0.9228,2
EIFICA,1.5,0.03,0.06,50,600,80201.48866572112,8.89008617401123,10.138385772705078,0.881,2
ExactLHS,1.5,0.03,0.06,50,100,80402.56467269761,172.5460684299469,174.2236132621765,0.7348,2
EIFICA,1.5,0.03,0.06,50,700,97763.13456660294,8.51382565498352,9.679450988769531,0.998,2
ExactLHS,1.5,0.03,0.06,50,600,80226.28735497374,75.99690818786621,77.15071272850037,0.6318,2
EIFICA,1.5,0.03,0.06,50,800,83516.4862768868,8.463534832000732,10.182169198989868,0.9688,2
ExactLHS,1.5,0.03,0.06,50,500,87546.3156078542,125.17262625694275,126.33228492736816,0.7234,2
EIFICA,1.5,0.03,0.06,50,900,80323.00204908337,8.961859941482544,10.69978141784668,0.922,2
ExactLHS,1.5,0.03,0.06,50,800,83550.56795328046,89.18125295639038,90.34504961967468,0.717,2
ExactLHS,1.5,0.03,0.06,50,400,87768.40968582989,205.07041883468628,206.80701088905334,0.7398,2
ExactLHS,1.5,0.03,0.06,50,900,80344.22227785326,74.08466291427612,75.25343155860901,0.6362,2
EIFICA,1.5,0.03,0.06,80,0,99482.58362642831,19.90010952949524,21.596920490264893,0.9776,2
ExactLHS,1.5,0.03,0.06,50,700,97763.13456656516,157.036851644516,158.2927806377411,0.7558,2
EIFICA,1.5,0.03,0.06,80,100,80310.22224441581,16.944814443588257,18.633723497390747,0.9594,2
EIFICA,1.5,0.03,0.06,80,200,92465.05419855716,17.603954076766968,19.346755266189575,0.9856,2
EIFICA,1.5,0.03,0.06,80,300,86218.77553693751,16.487635612487793,17.64344358444214,0.9606,2
ExactLHS,1.5,0.03,0.06,80,0,99492.5986976978,201.7628538608551,202.92814660072327,0.6306,2
ExactLHS,1.5,0.03,0.06,80,100,80450.04643236665,186.9452965259552,188.12276768684387,0.739,2
EIFICA,1.5,0.03,0.06,80,400,87761.48517620504,17.08814525604248,18.82088279724121,0.924,2
EIFICA,1.5,0.03,0.06,80,500,87513.24385629677,15.45421314239502,16.604802131652832,0.9256,2
ExactLHS,1.5,0.03,0.06,80,200,92474.26420807079,215.37817311286926,216.5196340084076,0.744,2
EIFICA,1.5,0.03,0.06,80,600,80215.75651194686,17.59693956375122,19.29584765434265,0.9256,2
ExactLHS,1.5,0.03,0.06,80,300,86287.51798609676,237.92788004875183,239.23454475402832,0.738,2
EIFICA,1.5,0.03,0.06,80,700,97763.13456664859,17.92224407196045,19.63631772994995,0.9976,2
ExactLHS,1.5,0.03,0.06,80,400,87771.8528179878,214.8897523880005,216.58984994888306,0.7408,2
ExactLHS,1.5,0.03,0.06,80,500,87576.27374854879,187.6568522453308,188.9583559036255,0.8174,2
EIFICA,1.5,0.03,0.06,80,800,83516.69512388144,16.909663677215576,18.04240131378174,0.969,2
EIFICA,1.5,0.03,0.06,80,900,80324.9975105696,18.884169816970825,20.13576626777649,0.9522,2
ExactLHS,1.5,0.03,0.06,80,600,80267.54499058494,224.55047416687012,225.70069551467896,0.7098,2
EIFICA,1.5,0.03,0.06,100,0,99482.59194052542,21.692250967025757,23.404993295669556,0.9776,2
ExactLHS,1.5,0.03,0.06,80,700,97763.13456656579,205.72755599021912,206.87206888198853,0.7416,2
EIFICA,1.5,0.03,0.06,100,100,80323.23907857828,28.45315146446228,30.173887014389038,0.9706,2
ExactLHS,1.5,0.03,0.06,80,900,80366.3660852592,111.4276750087738,112.56805896759033,0.6718,2
EIFICA,1.5,0.03,0.06,100,200,92465.0541985775,33.72499132156372,35.0201621055603,0.9858,2
ExactLHS,1.5,0.03,0.06,80,800,83575.07086147794,184.0383198261261,185.751296043396,0.6772,2
EIFICA,1.5,0.03,0.06,100,300,86218.77553664785,20.62292242050171,21.75662922859192,0.9606,2
ExactLHS,1.5,0.03,0.06,100,0,100092.5554019006,277.50685930252075,278.73938250541687,0.6614,2
EIFICA,1.5,0.03,0.06,100,400,87761.48747955765,21.181657791137695,22.958921432495117,0.9264,2
ExactLHS,1.5,0.03,0.06,100,300,86854.74940026473,310.3338797092438,311.64631485939026,0.7376,2
ExactLHS,1.5,0.03,0.06,100,100,80469.76037793812,393.68135952949524,394.8535327911377,0.7484,2
EIFICA,1.5,0.03,0.06,100,500,87527.64633155252,27.77729892730713,29.51566481590271,0.9552,2
EIFICA,1.5,0.03,0.06,100,600,80245.27476009961,19.98593783378601,21.172982454299927,0.9534,2
ExactLHS,1.5,0.03,0.06,100,200,93270.50326828066,482.99122071266174,484.15093445777893,0.7402,2
ExactLHS,1.5,0.03,0.06,100,500,87602.04368316621,139.7565221786499,141.50095748901367,0.747,2
EIFICA,1.5,0.03,0.06,100,700,97763.13456650436,26.376039743423462,28.12143588066101,0.9984,2
EIFICA,1.5,0.03,0.06,100,800,83525.6388586953,28.696833610534668,29.844122648239136,0.975,2
ExactLHS,1.5,0.03,0.06,100,400,88563.24033818625,387.49598360061646,388.70461320877075,0.7416,2
EIFICA,1.5,0.03,0.06,100,900,80325.3683480363,22.938933610916138,24.665626764297485,0.9542,2
ExactLHS,1.5,0.03,0.06,100,600,80288.4441948824,326.85800862312317,328.1656119823456,0.6778,2
